date,open,high,low,close,volume
2015-01-01,13.0,14.0,13.0,14.0,2552
2015-01-02,15.0,15.0,13.0,15.0,30
2015-01-05,15.0,16.0,15.0,15.0,12
2015-01-06,15.0,15.0,15.0,15.0,265
2015-01-07,15.0,15.0,15.0,15.0,251
2015-01-08,15.0,15.0,15.0,15.0,0
2015-01-09,14.0,14.0,14.0,14.0,5
2015-01-12,14.0,14.0,14.0,14.0,0
2015-01-13,14.0,14.0,14.0,14.0,11
2015-01-14,14.0,14.0,14.0,14.0,250
2015-01-15,14.0,14.0,14.0,14.0,690
2015-01-16,13.0,15.0,13.0,13.0,230
2015-01-19,12.0,14.0,12.0,12.0,102
2015-01-20,12.0,12.0,12.0,12.0,175
2015-01-21,12.0,12.0,12.0,12.0,0
2015-01-22,12.0,13.0,12.0,12.0,1075
2015-01-23,12.0,11.0,11.0,11.0,100
2015-01-27,12.0,12.0,11.0,12.0,2575
2015-01-28,12.0,12.0,11.0,12.0,538
2015-01-29,12.0,12.0,11.0,12.0,1135
2015-01-30,12.0,12.0,11.0,12.0,2550
2015-02-02,12.0,12.0,11.0,12.0,1875
2015-02-03,11.0,11.0,11.0,11.0,12
2015-02-04,12.0,12.0,11.0,12.0,5010
2015-02-05,12.0,12.0,12.0,12.0,12605
2015-02-06,12.0,12.0,11.0,12.0,5060
2015-02-09,11.0,12.0,11.0,11.0,2575
2015-02-10,11.0,11.0,11.0,11.0,0
2015-02-11,11.0,11.0,11.0,11.0,850
2015-02-12,11.0,11.0,11.0,11.0,2759
2015-02-13,11.0,11.0,11.0,11.0,3049
2015-02-16,10.0,10.0,10.0,10.0,249
2015-02-18,11.0,11.0,10.0,11.0,2532
2015-02-19,11.0,11.0,11.0,11.0,0
2015-02-20,11.0,11.0,11.0,11.0,6625
2015-02-23,11.0,11.0,11.0,11.0,10780
2015-02-24,10.0,11.0,10.0,10.0,510
2015-02-25,11.0,11.0,10.0,11.0,15
2015-02-26,11.0,11.0,10.0,11.0,105
2015-02-27,10.0,10.0,10.0,10.0,15
