date,open,high,low,close,volume,capital gains
2024-01-05,252.0,264.6000061035156,239.39999389648438,239.39999389648438,1610000,0.0
2024-01-08,227.4499969482422,227.4499969482422,227.4499969482422,227.4499969482422,26000,0.0
2024-01-09,216.10000610351562,216.10000610351562,216.10000610351562,216.10000610351562,6000,0.0
2024-01-10,205.3000030517578,205.3000030517578,205.3000030517578,205.3000030517578,58000,0.0
2024-01-11,212.0,215.5500030517578,209.5,215.5500030517578,464000,0.0
2024-01-12,226.3000030517578,226.3000030517578,217.0,226.3000030517578,312000,0.0
2024-01-15,226.3000030517578,226.3000030517578,226.3000030517578,226.3000030517578,0,0.0
2024-01-16,223.5500030517578,229.0,221.60000610351562,221.60000610351562,120000,0.0
2024-01-17,211.10000610351562,222.0,211.10000610351562,219.8000030517578,92000,0.0
2024-01-18,219.8000030517578,230.75,208.85000610351562,230.75,248000,0.0
2024-01-19,230.5,249.39999389648438,225.10000610351562,241.3000030517578,268000,0.0
2024-01-23,226.60000610351562,260.0,221.3000030517578,239.10000610351562,204000,0.0
2024-01-24,253.8000030517578,253.8000030517578,230.0,246.25,186000,0.0
2024-01-25,250.89999389648438,295.5,250.0500030517578,295.5,390000,0.0
2024-01-29,314.0,354.6000061035156,304.25,341.70001220703125,542000,0.0
2024-01-30,342.79998779296875,349.5,320.0,321.20001220703125,138000,0.0
2024-01-31,320.0,341.70001220703125,313.0,337.6499938964844,162000,0.0
2024-02-01,337.6499938964844,340.0,321.0,322.54998779296875,34000,0.0
2024-02-02,337.0,354.79998779296875,336.95001220703125,347.70001220703125,198000,0.0
2024-02-05,365.0,382.45001220703125,365.0,382.45001220703125,276000,0.0
2024-02-06,413.95001220703125,413.95001220703125,380.04998779296875,399.95001220703125,84000,0.0
2024-02-07,402.0,402.0,370.0,375.1000061035156,66000,0.0
2024-02-08,363.1000061035156,364.04998779296875,343.6499938964844,348.5,126000,0.0
2024-02-09,335.04998779296875,337.54998779296875,326.5,335.5,44000,0.0
2024-02-12,311.1000061035156,320.0,301.95001220703125,302.0,134000,0.0
2024-02-13,300.0,313.6000061035156,286.8999938964844,311.29998779296875,74000,0.0
2024-02-14,311.0,315.95001220703125,305.0,305.1000061035156,34000,0.0
2024-02-15,315.0,320.3500061035156,311.0,313.29998779296875,94000,0.0
2024-02-16,305.1000061035156,309.95001220703125,297.6499938964844,298.29998779296875,66000,0.0
2024-02-19,295.0,298.0,290.0,298.0,26000,0.0
2024-02-20,298.1000061035156,301.79998779296875,290.0,291.04998779296875,30000,0.0
2024-02-21,290.0,290.0,276.5,276.5,180000,0.0
2024-02-22,276.5,285.75,263.5,284.75,94000,0.0
2024-02-23,286.0,294.0,286.0,293.3500061035156,38000,0.0
2024-02-26,294.0,294.95001220703125,278.95001220703125,279.0,36000,0.0
2024-02-27,279.0,279.0,279.0,279.0,0,0.0
2024-02-28,286.0,295.0,272.6000061035156,276.70001220703125,66000,0.0
2024-02-29,272.20001220703125,282.0,266.1000061035156,275.5,50000,0.0
2024-03-01,287.79998779296875,287.79998779296875,272.04998779296875,272.04998779296875,12000,0.0
2024-03-04,265.0,265.0,258.45001220703125,258.45001220703125,58000,0.0
2024-03-05,254.8000030517578,254.8000030517578,245.5500030517578,246.75,124000,0.0
2024-03-06,236.0,239.0,234.4499969482422,234.4499969482422,42000,0.0
2024-03-07,226.1999969482422,246.10000610351562,224.0,242.0,60000,0.0
2024-03-11,242.0,242.0,229.89999389648438,229.89999389648438,44000,0.0
2024-03-12,230.0,230.0,218.39999389648438,218.39999389648438,8000,0.0
2024-03-13,207.5,207.5,207.5,207.5,4000,0.0
2024-03-14,197.14999389648438,217.85000610351562,197.14999389648438,199.8000030517578,100000,0.0
2024-03-18,191.0500030517578,191.0500030517578,180.35000610351562,180.35000610351562,66000,0.0
2024-03-19,175.0,180.0,171.39999389648438,175.35000610351562,96000,0.0
2024-03-20,177.0,184.10000610351562,177.0,179.85000610351562,98000,0.0
2024-03-21,187.89999389648438,188.8000030517578,184.5,188.8000030517578,70000,0.0
2024-03-22,190.0,192.0,186.0,187.64999389648438,50000,0.0
2024-03-26,192.0500030517578,197.0,192.0,196.0500030517578,56000,0.0
2024-03-27,199.0,199.0,186.25,186.25,88000,0.0
2024-03-28,192.9499969482422,192.9499969482422,176.9499969482422,176.9499969482422,168000,0.0
2024-04-01,184.5,185.75,184.5,185.75,14000,0.0
2024-04-02,195.0,195.0,195.0,195.0,16000,0.0
2024-04-03,195.0,195.0,195.0,195.0,0,0.0
2024-04-04,214.9499969482422,214.9499969482422,214.9499969482422,214.9499969482422,22000,0.0
2024-04-05,225.64999389648438,225.64999389648438,214.0,225.60000610351562,210000,0.0
2024-04-08,235.0,235.0,214.35000610351562,214.35000610351562,64000,0.0
2024-04-09,208.0,214.9499969482422,205.0,209.9499969482422,32000,0.0
2024-04-10,217.5,217.5,209.64999389648438,215.89999389648438,14000,0.0
2024-04-12,218.0,219.9499969482422,206.3000030517578,208.10000610351562,30000,0.0
2024-04-15,198.14999389648438,202.0,197.6999969482422,197.9499969482422,102000,0.0
2024-04-16,191.3000030517578,207.8000030517578,191.0,207.75,246000,0.0
2024-04-18,217.89999389648438,218.10000610351562,217.89999389648438,218.10000610351562,30000,0.0
2024-04-19,229.0,229.0,220.0,226.35000610351562,318000,0.0
2024-04-22,231.5,237.64999389648438,230.0,237.64999389648438,60000,0.0
2024-04-23,249.5,249.5,247.6999969482422,249.39999389648438,100000,0.0
2024-04-24,256.0,258.0,240.0,245.25,88000,0.0
2024-04-25,249.8000030517578,249.8000030517578,233.10000610351562,233.5500030517578,56000,0.0
2024-04-26,230.0,239.0,228.0,231.5500030517578,20000,0.0
2024-04-29,240.0,243.10000610351562,240.0,243.10000610351562,121000,0.0
2024-04-30,253.39999389648438,255.25,248.0,255.25,114500,0.0
2024-05-02,267.0,268.0,260.0,268.0,97000,0.0
2024-05-03,279.3999938964844,281.3999938964844,279.25,281.3999938964844,83500,0.0
2024-05-06,295.45001220703125,295.45001220703125,267.3500061035156,268.0,241000,0.0
2024-05-07,277.0,281.3999938964844,257.1000061035156,280.0,189500,0.0
2024-05-08,279.95001220703125,294.0,272.5,294.0,150000,0.0
2024-05-09,298.0,308.70001220703125,279.29998779296875,285.29998779296875,228000,0.0
2024-05-10,289.0,299.54998779296875,285.0,299.54998779296875,97000,0.0
2024-05-13,314.5,314.5,285.04998779296875,314.5,224500,0.0
2024-05-14,316.79998779296875,326.0,299.0,303.6499938964844,113500,0.0
2024-05-15,301.0,303.0,288.5,289.1499938964844,170500,0.0
2024-05-16,285.0,300.0,275.1499938964844,292.5,95000,0.0
2024-05-17,283.0,307.1000061035156,283.0,298.8500061035156,62500,0.0
2024-05-21,314.0,318.45001220703125,305.0,311.3500061035156,60500,0.0
2024-05-22,319.79998779296875,319.79998779296875,300.20001220703125,301.45001220703125,98000,0.0
2024-05-23,301.45001220703125,316.5,299.0,315.5,106500,0.0
2024-05-24,300.0,300.0,299.75,299.75,30500,0.0
2024-05-27,284.79998779296875,284.79998779296875,284.79998779296875,284.79998779296875,9500,0.0
2024-05-28,270.6000061035156,270.6000061035156,270.6000061035156,270.6000061035156,6000,0.0
2024-05-29,257.1000061035156,257.1000061035156,257.1000061035156,257.1000061035156,14500,0.0
2024-05-30,244.25,244.25,244.25,244.25,5500,0.0
2024-05-31,232.0500030517578,248.39999389648438,232.0500030517578,232.0500030517578,300000,0.0
2024-06-03,236.89999389648438,236.89999389648438,220.4499969482422,220.4499969482422,101000,0.0
2024-06-04,209.4499969482422,209.4499969482422,209.4499969482422,209.4499969482422,17500,0.0
2024-06-05,199.0,219.8000030517578,199.0,213.75,177500,0.0
2024-06-06,212.0,220.0,207.5,209.60000610351562,103500,0.0
2024-06-07,208.9499969482422,220.0500030517578,203.0,220.0500030517578,75000,0.0
2024-06-10,229.0,229.89999389648438,222.0,224.5,96500,0.0
2024-06-11,229.9499969482422,235.6999969482422,225.0,235.6999969482422,92500,0.0
2024-06-12,247.4499969482422,247.4499969482422,225.0500030517578,228.6999969482422,88000,0.0
2024-06-13,228.0,228.5,219.0,226.1999969482422,51000,0.0
2024-06-14,227.0,232.0,221.0,229.60000610351562,39500,0.0
2024-06-18,240.0,240.0,222.0,230.9499969482422,122500,0.0
2024-06-19,230.9499969482422,234.0,222.0,225.9499969482422,36500,0.0
2024-06-20,230.0,237.1999969482422,230.0,237.1999969482422,58000,0.0
2024-06-21,249.0500030517578,249.0500030517578,247.85000610351562,249.0500030517578,48000,0.0
2024-06-24,261.5,261.5,261.5,261.5,16500,0.0
2024-06-25,274.54998779296875,274.54998779296875,274.54998779296875,274.54998779296875,8000,0.0
2024-06-26,288.25,288.25,280.0,288.25,250500,0.0
2024-06-27,299.0,302.6499938964844,280.20001220703125,302.6499938964844,195500,0.0
2024-06-28,317.75,317.75,312.0,317.75,116500,0.0
2024-07-01,333.6000061035156,333.6000061035156,333.6000061035156,333.6000061035156,38000,0.0
2024-07-02,350.25,350.25,350.25,350.25,40500,0.0
2024-07-03,367.75,367.75,367.75,367.75,29500,0.0
2024-07-04,374.0,383.0,349.3999938964844,366.75,604500,0.0
2024-07-05,385.04998779296875,385.04998779296875,371.0,385.04998779296875,183500,0.0
2024-07-08,404.29998779296875,404.29998779296875,380.0,404.29998779296875,118500,0.0
2024-07-09,424.5,424.5,384.1000061035156,385.1000061035156,376000,0.0
2024-07-10,385.1000061035156,385.1000061035156,365.8500061035156,369.8999938964844,209500,0.0
2024-07-11,384.8999938964844,388.3500061035156,380.0,388.3500061035156,174000,0.0
2024-07-12,397.79998779296875,403.8999938964844,375.0,376.1499938964844,88500,0.0
2024-07-15,368.0,391.0,368.0,378.95001220703125,52500,0.0
2024-07-16,376.0,376.0,360.0,360.0,41500,0.0
2024-07-18,372.0,372.0,342.0,343.3999938964844,33500,0.0
2024-07-19,326.29998779296875,350.0,326.25,338.8500061035156,53500,0.0
2024-07-22,355.5,355.75,345.6499938964844,355.75,45000,0.0
2024-07-23,364.95001220703125,370.0,338.0,369.29998779296875,40000,0.0
2024-07-24,368.8999938964844,380.0,355.54998779296875,360.1000061035156,13000,0.0
2024-07-25,378.1000061035156,378.1000061035156,370.0,375.04998779296875,53500,0.0
2024-07-26,384.6000061035156,389.0,375.0,382.75,26000,0.0
2024-07-29,383.0,383.0,363.6499938964844,365.79998779296875,29500,0.0
2024-07-30,365.79998779296875,367.0,348.0,350.04998779296875,17500,0.0
2024-07-31,349.0,349.8999938964844,332.6000061035156,337.75,27500,0.0
2024-08-01,337.0,344.5,320.8999938964844,325.54998779296875,36000,0.0
2024-08-02,320.0,341.79998779296875,309.29998779296875,329.75,56000,0.0
2024-08-05,326.0,344.29998779296875,313.29998779296875,336.3500061035156,57000,0.0
2024-08-06,349.8500061035156,350.0,319.54998779296875,320.0,44500,0.0
2024-08-07,320.0,329.0,311.04998779296875,323.3500061035156,35000,0.0
2024-08-08,320.0,333.0,316.0,323.1499938964844,26000,0.0
2024-08-09,323.0,334.95001220703125,323.0,332.0,16000,0.0
2024-08-12,335.0,335.0,321.0,323.04998779296875,22500,0.0
2024-08-13,320.0,326.8999938964844,311.3999938964844,315.6499938964844,28000,0.0
2024-08-14,301.0,315.0,299.8999938964844,299.95001220703125,93500,0.0
2024-08-16,300.0,300.0,284.95001220703125,285.54998779296875,38500,0.0
2024-08-19,291.0,296.75,286.0,291.25,36500,0.0
2024-08-20,287.0,305.79998779296875,287.0,305.79998779296875,31500,0.0
2024-08-21,310.0,314.0,290.54998779296875,292.8500061035156,45000,0.0
2024-08-22,285.0,304.95001220703125,285.0,294.0,29500,0.0
2024-08-23,295.0,300.0,279.29998779296875,281.8500061035156,45000,0.0
2024-08-26,285.0,285.0,267.75,267.75,89500,0.0
2024-08-27,258.1000061035156,281.1000061035156,254.39999389648438,281.1000061035156,129000,0.0
