date,open,high,low,close,volume,capital gains
2023-05-26,118.80000305175781,118.80000305175781,112.9000015258789,112.9000015258789,1004000,0.0
2023-05-29,107.25,107.25,107.25,107.25,66000,0.0
2023-05-30,101.9000015258789,101.9000015258789,101.9000015258789,101.9000015258789,16000,0.0
2023-05-31,96.80000305175781,96.80000305175781,96.80000305175781,96.80000305175781,86000,0.0
2023-06-01,96.0,101.5999984741211,96.0,101.5999984741211,890000,0.0
2023-06-02,100.5999984741211,106.5999984741211,97.0999984741211,105.1500015258789,360000,0.0
2023-06-05,102.0,110.4000015258789,100.1500015258789,110.4000015258789,214000,0.0
2023-06-06,115.69999694824219,115.9000015258789,111.3499984741211,115.44999694824219,316000,0.0
2023-06-07,111.0999984741211,115.8499984741211,109.69999694824219,109.69999694824219,152000,0.0
2023-06-08,110.0,115.1500015258789,106.05000305175781,115.1500015258789,228000,0.0
2023-06-09,120.0,138.14999389648438,119.0,136.5500030517578,1108000,0.0
2023-06-12,136.0,136.0,126.0,128.75,226000,0.0
2023-06-13,132.0,141.35000610351562,130.0,133.6999969482422,340000,0.0
2023-06-14,134.0,136.5,130.0,134.0500030517578,186000,0.0
2023-06-15,131.64999389648438,143.89999389648438,131.64999389648438,136.14999389648438,132000,0.0
2023-06-16,137.8000030517578,140.0,132.10000610351562,134.89999389648438,138000,0.0
2023-06-19,137.0,144.0,135.5,141.35000610351562,216000,0.0
2023-06-20,148.25,168.5,148.10000610351562,166.89999389648438,628000,0.0
2023-06-21,174.3000030517578,174.39999389648438,154.0,158.5500030517578,292000,0.0
2023-06-22,159.0500030517578,161.5,148.0,156.3000030517578,144000,0.0
2023-06-23,158.0,158.0,145.0,153.85000610351562,82000,0.0
2023-06-26,151.0,174.0,151.0,165.89999389648438,166000,0.0
2023-06-27,170.9499969482422,177.85000610351562,167.0,170.64999389648438,146000,0.0
2023-06-28,170.64999389648438,173.5,165.0,170.3000030517578,100000,0.0
2023-06-30,170.0,175.85000610351562,170.0,173.1999969482422,76000,0.0
2023-07-03,178.0,183.0,174.0500030517578,178.89999389648438,98000,0.0
2023-07-04,183.0,187.5,172.0,174.39999389648438,98000,0.0
2023-07-05,174.0,174.14999389648438,170.0,170.0,62000,0.0
2023-07-06,166.0,170.5,164.0,165.75,82000,0.0
2023-07-07,162.25,162.25,159.0,159.89999389648438,66000,0.0
2023-07-10,165.5,167.0,163.0,165.0500030517578,206000,0.0
2023-07-11,165.25,167.0,160.0,160.0,42000,0.0
2023-07-12,157.25,158.0,148.0,154.4499969482422,94000,0.0
2023-07-13,159.0,159.0,148.89999389648438,151.9499969482422,58000,0.0
2023-07-14,152.0,152.0,149.0,150.8000030517578,62000,0.0
2023-07-17,152.0,165.10000610351562,151.5500030517578,160.6999969482422,132000,0.0
2023-07-18,160.5,162.0,155.0,156.6999969482422,32000,0.0
2023-07-19,156.8000030517578,161.9499969482422,155.0,156.14999389648438,40000,0.0
2023-07-20,156.0,163.0,155.0,159.75,52000,0.0
2023-07-21,160.0,169.89999389648438,159.0,167.4499969482422,108000,0.0
2023-07-24,166.0500030517578,181.0,166.0500030517578,178.0500030517578,96000,0.0
2023-07-25,180.0,182.75,173.10000610351562,174.8000030517578,44000,0.0
2023-07-26,179.9499969482422,195.0,178.0500030517578,194.0,184000,0.0
2023-07-27,199.9499969482422,200.0,187.14999389648438,187.8000030517578,84000,0.0
2023-07-28,191.8000030517578,194.0,188.10000610351562,193.89999389648438,32000,0.0
2023-07-31,196.9499969482422,196.9499969482422,187.0,190.64999389648438,44000,0.0
2023-08-01,187.39999389648438,191.0,186.8000030517578,187.75,42000,0.0
2023-08-02,185.1999969482422,188.9499969482422,181.60000610351562,182.1999969482422,40000,0.0
2023-08-03,185.0,187.5,181.5500030517578,184.10000610351562,18000,0.0
2023-08-04,183.5,189.0,183.0,188.14999389648438,46000,0.0
2023-08-07,190.0,200.0,185.0,197.4499969482422,92000,0.0
2023-08-08,206.0,225.0,206.0,219.89999389648438,188000,0.0
2023-08-09,220.0,224.0,192.0,195.39999389648438,104000,0.0
2023-08-10,200.89999389648438,205.0,194.0,195.0500030517578,78000,0.0
2023-08-11,193.5,205.0,189.0,201.3000030517578,64000,0.0
2023-08-14,204.0,228.5,202.0,219.39999389648438,104000,0.0
2023-08-16,228.10000610351562,256.0,228.10000610351562,253.4499969482422,246000,0.0
2023-08-17,266.8999938964844,268.0,242.0,244.89999389648438,136000,0.0
2023-08-18,242.0,277.0,240.0,272.6000061035156,114000,0.0
2023-08-21,272.6000061035156,275.0,268.5,273.0,100000,0.0
2023-08-22,280.0,290.0,274.25,281.54998779296875,102000,0.0
2023-08-23,285.0,299.0,285.0,293.79998779296875,70000,0.0
2023-08-24,293.8999938964844,299.0,289.04998779296875,291.45001220703125,56000,0.0
2023-08-25,283.3500061035156,283.3500061035156,275.0,280.5,40000,0.0
2023-08-28,280.0,281.5,266.0,280.25,48000,0.0
2023-08-29,277.0,280.0,265.0,269.5,76000,0.0
2023-08-30,265.0,288.0,265.0,272.0,40000,0.0
2023-08-31,274.29998779296875,282.0,273.75,281.0,18000,0.0
2023-09-01,285.0,285.0,276.75,278.5,14000,0.0
2023-09-04,274.5,280.0,270.0,272.0,34000,0.0
2023-09-05,265.0,270.54998779296875,260.0,260.0,28000,0.0
2023-09-06,258.0,258.0,233.10000610351562,251.64999389648438,78000,0.0
2023-09-07,252.0,254.0,252.0,254.0,4000,0.0
2023-09-08,254.0,262.0,254.0,260.0,8000,0.0
2023-09-11,272.0,272.0,256.0,256.0,34000,0.0
2023-09-12,250.0,250.0,237.0,244.10000610351562,34000,0.0
2023-09-13,240.0,250.0,217.6999969482422,247.0,68000,0.0
2023-09-14,245.0,249.0,242.0,248.5,8000,0.0
2023-09-15,248.5,259.3999938964844,244.0,254.35000610351562,16000,0.0
2023-09-18,250.0,250.0,235.0,236.1999969482422,64000,0.0
2023-09-20,238.0,241.89999389648438,223.0,241.89999389648438,20000,0.0
2023-09-21,241.89999389648438,241.89999389648438,241.89999389648438,241.89999389648438,0,0.0
2023-09-22,232.0,232.0,224.14999389648438,228.89999389648438,22000,0.0
2023-09-25,228.89999389648438,232.0500030517578,225.0,227.39999389648438,22000,0.0
2023-09-26,225.0,225.0,202.0,208.8000030517578,160000,0.0
2023-09-27,210.0,230.0,209.0,222.6999969482422,96000,0.0
2023-09-28,223.1999969482422,239.0,220.0500030517578,227.10000610351562,36000,0.0
2023-09-29,227.10000610351562,236.0,225.5,235.0,48000,0.0
2023-10-03,235.0,235.0,225.25,227.0,46000,0.0
2023-10-04,197.10000610351562,221.0,196.3000030517578,220.0,16000,0.0
2023-10-05,220.0,220.0,220.0,220.0,4000,0.0
2023-10-06,220.60000610351562,227.0,220.5,221.8000030517578,14000,0.0
2023-10-09,222.0,222.0,213.0,213.0,4000,0.0
2023-10-10,221.0,225.0,219.0,225.0,10000,0.0
2023-10-11,225.0,230.0,225.0,227.0,32000,0.0
2023-10-12,227.0,227.0,221.85000610351562,223.0,10000,0.0
2023-10-13,219.5,223.5500030517578,217.0,223.5500030517578,24000,0.0
2023-10-16,229.0,229.0,220.0,220.0,12000,0.0
2023-10-17,225.0,225.0,215.0500030517578,218.0,38000,0.0
2023-10-18,220.0,220.0,208.0,211.89999389648438,66000,0.0
2023-10-19,210.0,219.0,209.0,219.0,24000,0.0
2023-10-20,219.0,220.0,216.0,216.0,10000,0.0
2023-10-23,215.0,215.0,203.0,203.85000610351562,42000,0.0
2023-10-25,206.35000610351562,207.0,197.75,199.0,24000,0.0
2023-10-26,199.0,216.89999389648438,199.0,215.0,24000,0.0
2023-10-27,216.0,228.0,215.0,225.5,64000,0.0
