date,open,high,low,close,volume
2015-01-01,45.754581886881546,46.3896010859804,45.43707483722089,45.78800582885742,1291972
2015-01-02,45.48721301790775,47.70976757611329,45.48721301790775,46.1556510925293,2963740
2015-01-05,46.12222618827398,46.69039751991312,44.5513977655854,45.01930236816406,1847530
2015-01-06,44.50126979971233,44.50126979971233,42.47924583486766,42.89702224731445,1451452
2015-01-07,42.96385027911894,43.91637129851083,41.827505253535215,43.03069305419922,1879336
2015-01-08,43.582162253435364,44.93575043127481,43.44847667281483,44.16704559326172,1705494
2015-01-09,44.78534050007155,44.919026043743216,43.81610755901049,44.300724029541016,1508672
2015-01-12,44.267311994740695,46.924352412813306,43.71585260411773,45.40365982055664,3269044
2015-01-13,45.45379225433751,46.25591596009103,44.11691601156288,44.651668548583984,1730632
2015-01-14,44.73521335559638,45.45378213622143,44.116906191038446,44.668365478515625,1326242
2015-01-15,45.05272867979325,45.93840711687443,44.48455731828204,45.10285949707031,1822122
2015-01-16,45.08614734905276,45.152995238199,44.20046891542239,44.70179748535156,2088758
2015-01-19,44.60152150221403,47.07474499418246,44.33414530040975,46.77394485473633,4855246
2015-01-20,47.091466396738,47.72648570947685,45.48721889035836,46.22249984741211,4468736
2015-01-21,46.27262628759217,47.3922621410121,44.86890730255173,45.40365982055664,4252148
2015-01-22,45.62090616083857,46.17236562397022,44.36758456301334,44.78535842895508,1472208
2015-01-23,45.21983668279735,45.37023422934792,43.28136525009618,44.116912841796875,2257536
2015-01-27,44.350862760694106,45.45378654233871,43.782691448870374,44.033355712890625,1477098
2015-01-28,44.08348751803405,45.03601378266188,35.62774768469205,41.309471130371094,31351824
2015-01-29,41.91106464983467,42.646345456894224,41.426445552096084,41.660400390625,4760062
2015-01-30,41.74396026662925,42.78003882186858,40.40708405344586,40.69116973876953,3917156
2015-02-02,41.10893842414285,41.76066447676524,40.08956941887325,40.30681228637695,4610240
2015-02-03,40.741297688990755,41.00867136613885,39.63837393982492,40.089569091796875,3337632
2015-02-04,40.37365307987035,41.777371750739846,38.93651047168954,41.4932861328125,3350084
2015-02-05,41.94448401919346,42.612922011531204,40.75800556283853,41.125648498535156,2170046
2015-02-06,41.30947260119264,41.30947260119264,39.80548692966944,40.35694885253906,1962304
2015-02-09,40.256681604390394,41.058807795550656,39.538112721575516,40.60761260986328,1403832
2015-02-10,40.44050298437395,40.74130062398756,39.23731497580837,39.922462463378906,4171474
2015-02-11,40.3068131155004,40.82485361405865,39.822196558698494,40.27339172363281,2005516
2015-02-12,40.44050136040064,42.04475367399187,40.17312512483918,41.342891693115234,1686632
2015-02-13,41.42644875455555,42.01133207125901,40.13970596778571,40.35694885253906,950502
2015-02-16,40.44049801214174,40.70787422556586,39.70521725005821,40.2232551574707,634938
2015-02-18,40.707871245458755,41.77737092108314,40.52404979345065,41.52670669555664,1580398
2015-02-19,41.69382196531102,44.13362178564142,40.59089819998057,43.59886932373047,5042730
2015-02-20,43.93309203413891,43.93309203413891,42.11159927589125,42.32884216308594,1954926
2015-02-23,42.57950413581923,42.729901676551535,40.49063523737724,40.70787811279297,872412
2015-02-24,40.50734608707138,40.90841045964854,39.67179849823007,40.139705657958984,1203152
2015-02-25,40.30681275732136,40.40707948192187,38.95322727454679,39.18717956542969,1013548
2015-02-26,39.521399011088825,39.85561803021008,38.4518991698563,39.60495376586914,712104
2015-02-27,39.90575435479759,41.743959096393134,39.254025689207616,40.991966247558594,1343248
2015-03-02,41.34289003474559,42.780032780935606,40.808140134961626,42.56278991699219,1852332
2015-03-03,42.880300484078965,43.94980030812344,41.89435286358327,43.59886932373047,1571402
2015-03-04,43.44847278359142,44.116910826415904,41.777377676530215,42.228572845458984,1575814
2015-03-05,42.4458145358005,43.26465009547267,41.96119798822125,42.81345748901367,594400
2015-03-09,42.729902850921874,42.729902850921874,40.891698169772496,41.27605056762695,504424
2015-03-10,41.59355868449669,41.89435633175055,40.139706364306804,40.774723052978516,769102
2015-03-11,41.025388723078976,41.10894348626244,39.772067275327075,40.006019592285156,869578
2015-03-12,40.75801388963972,41.7439616596987,39.538116344310964,41.476585388183594,2052714
2015-03-13,41.844215862649186,42.546077770399194,40.62431860845849,42.26198959350586,742990
2015-03-16,42.111602783203125,46.03867685227167,41.9612052217902,43.86625289916992,4668330
2015-03-17,44.15033864914156,46.723824320261464,43.94980517875695,45.520633697509766,4404472
