date,open,high,low,close,volume
2015-01-01,4000.0,4350.0,4000.0,4100.0,225
2015-01-02,4250.0,4250.0,3850.0,4050.0,358
2015-01-05,4150.0,4350.0,4000.0,4050.0,336
2015-01-06,4000.0,4200.0,3900.0,4000.0,262
2015-01-07,4000.0,4100.0,3900.0,3900.0,142
2015-01-08,4050.0,4150.0,3800.0,3850.0,133
2015-01-09,3900.0,3950.0,3800.0,3850.0,166
2015-01-12,3900.0,3950.0,3800.0,3800.0,106
2015-01-13,3800.0,3850.0,3750.0,3800.0,135
2015-01-14,3850.0,4500.0,3800.0,4250.0,1373
2015-01-15,4100.0,4400.0,4050.0,4150.0,404
2015-01-16,4100.0,4200.0,4100.0,4150.0,114
2015-01-19,4050.0,4250.0,3950.0,4000.0,200
2015-01-20,4050.0,4100.0,3900.0,3950.0,223
2015-01-21,4050.0,4150.0,3950.0,3950.0,174
2015-01-22,4000.0,4000.0,3850.0,3850.0,138
2015-01-23,3850.0,3900.0,3750.0,3800.0,221
2015-01-27,3950.0,3950.0,3650.0,3700.0,176
2015-01-28,3700.0,3850.0,3650.0,3700.0,194
2015-01-29,3700.0,3800.0,3700.0,3700.0,211
2015-01-30,3750.0,3900.0,3700.0,3800.0,243
2015-02-02,3850.0,4100.0,3800.0,3800.0,203
2015-02-03,3900.0,4050.0,3750.0,4000.0,374
2015-02-04,3900.0,4150.0,3800.0,3900.0,361
2015-02-05,3850.0,3950.0,3750.0,3800.0,233
2015-02-06,3800.0,3850.0,3700.0,3750.0,148
2015-02-09,3900.0,3900.0,3500.0,3600.0,375
2015-02-10,3600.0,3950.0,3600.0,3700.0,347
2015-02-11,3750.0,3850.0,3700.0,3750.0,102
2015-02-12,3800.0,3950.0,3650.0,3900.0,261
2015-02-13,3800.0,3900.0,3750.0,3750.0,98
2015-02-16,3850.0,4000.0,3800.0,3950.0,423
2015-02-18,3850.0,4200.0,3850.0,4050.0,284
2015-02-19,4050.0,4200.0,4000.0,4100.0,232
2015-02-20,4100.0,4100.0,3900.0,3950.0,153
2015-02-23,4000.0,4050.0,3900.0,3900.0,101
2015-02-24,3850.0,3950.0,3850.0,3850.0,123
2015-02-25,3900.0,4000.0,3850.0,3950.0,182
2015-02-26,3950.0,3950.0,3800.0,3850.0,112
2015-02-27,3850.0,3900.0,3700.0,3700.0,377
2015-03-02,3950.0,4000.0,3850.0,3900.0,165
2015-03-03,3900.0,3900.0,3750.0,3800.0,198
2015-03-04,3800.0,3850.0,3600.0,3650.0,579
2015-03-05,3750.0,3750.0,3650.0,3700.0,163
2015-03-09,3650.0,3750.0,3000.0,3600.0,710
2015-03-10,3600.0,3800.0,3200.0,3650.0,577
2015-03-11,3600.0,3700.0,3550.0,3600.0,140
2015-03-12,3600.0,3700.0,3600.0,3650.0,153
2015-03-13,3600.0,3750.0,3600.0,3600.0,178
2015-03-16,3600.0,3700.0,3600.0,3600.0,87
2015-03-17,3700.0,3700.0,3550.0,3650.0,155
2015-03-18,3650.0,3850.0,3550.0,3600.0,397
2015-03-19,3600.0,3750.0,3550.0,3700.0,201
2015-03-20,3700.0,3700.0,3500.0,3500.0,161
2015-03-23,3500.0,3500.0,3250.0,3400.0,203
2015-03-24,3350.0,3700.0,3350.0,3400.0,441
2015-03-25,3450.0,3450.0,3200.0,3300.0,189
2015-03-26,3200.0,3250.0,3050.0,3150.0,395
2015-03-27,3150.0,3250.0,3000.0,3050.0,519
2015-03-30,3100.0,3650.0,3050.0,3650.0,603
2015-03-31,3700.0,3750.0,3350.0,3450.0,241
2015-04-01,3350.0,3500.0,3300.0,3450.0,143
2015-04-06,3450.0,3550.0,3400.0,3450.0,209
2015-04-07,3450.0,3600.0,3400.0,3550.0,225
2015-04-08,3600.0,3650.0,3500.0,3600.0,147
2015-04-09,3550.0,3650.0,3500.0,3600.0,236
2015-04-10,3550.0,3750.0,3550.0,3700.0,261
2015-04-13,3650.0,4000.0,3650.0,3900.0,351
2015-04-15,4000.0,4000.0,3700.0,3750.0,248
2015-04-16,3700.0,3900.0,3550.0,3600.0,237
2015-04-17,3600.0,3700.0,3500.0,3550.0,156
2015-04-20,3500.0,3600.0,3450.0,3500.0,144
2015-04-21,3450.0,3600.0,3450.0,3550.0,99
2015-04-22,3550.0,3650.0,3450.0,3550.0,319
2015-04-23,3550.0,3900.0,3550.0,3700.0,385
2015-04-24,3800.0,3800.0,3600.0,3600.0,143
2015-04-27,3600.0,3600.0,3350.0,3400.0,337
2015-04-28,3400.0,3450.0,3350.0,3400.0,363
2015-04-29,3450.0,3550.0,3400.0,3500.0,172
2015-04-30,3500.0,3600.0,3350.0,3500.0,299
2015-05-04,3500.0,3650.0,3500.0,3600.0,224
2015-05-05,3600.0,3650.0,3500.0,3550.0,160
2015-05-06,3500.0,3500.0,3350.0,3400.0,159
2015-05-07,3400.0,3450.0,3150.0,3250.0,349
2015-05-08,3350.0,3450.0,3300.0,3350.0,140
2015-05-11,3300.0,3450.0,3300.0,3350.0,86
2015-05-12,3350.0,3350.0,3250.0,3300.0,113
2015-05-13,3300.0,3350.0,3100.0,3200.0,310
2015-05-14,3150.0,3250.0,3000.0,3150.0,260
2015-05-15,3150.0,3350.0,3150.0,3200.0,364
2015-05-18,3200.0,3350.0,3200.0,3300.0,119
2015-05-19,3300.0,3350.0,3150.0,3200.0,167
2015-05-20,3150.0,3250.0,3150.0,3200.0,119
2015-05-21,3150.0,3350.0,3100.0,3150.0,670
2015-05-22,3200.0,3200.0,3100.0,3100.0,113
2015-05-25,3200.0,3200.0,3050.0,3150.0,123
2015-05-26,3100.0,3350.0,3100.0,3150.0,229
2015-05-27,3150.0,3250.0,3150.0,3150.0,73
2015-05-28,3200.0,3250.0,3100.0,3200.0,104
2015-05-29,3200.0,3200.0,3000.0,3150.0,328
2015-06-01,3100.0,3100.0,2900.0,3050.0,370
2015-06-02,3050.0,3300.0,3050.0,3100.0,245
