Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-01,10752.273442954338,11414.107584336427,10752.273442954338,11353.7236328125,13023,0.0,0.0
2015-01-02,11369.004112450328,11542.056721400264,11368.08361984953,11432.1962890625,13252,0.0,0.0
2015-01-05,11414.107477288248,11414.107477288248,10972.271058812574,11120.240234375,9319,0.0,0.0
2015-01-06,11137.960540324582,11266.507692409057,10631.689606673464,10714.3955078125,11751,0.0,0.0
2015-01-07,10713.615781904293,10714.39784122283,10449.434346264932,10483.1240234375,9301,0.0,0.0
2015-01-08,10723.73901338328,10723.73901338328,10125.418810919835,10304.1328125,16214,0.0,0.0
2015-01-09,10314.348307874468,10535.036378806657,10080.3130960517,10154.1826171875,11018,0.0,0.0
2015-01-12,10253.965896493473,10307.676280897322,10005.754703817995,10101.8544921875,11566,0.0,0.0
2015-01-13,10102.407360842615,10419.931496810643,9987.345773589283,10006.26171875,10684,0.0,0.0
2015-01-14,9989.414990615018,10217.467013368352,9830.860153403062,9977.6787109375,12513,0.0,0.0
2015-01-15,9956.048434039458,10125.41908047652,9904.961092315236,10042.2529296875,10458,0.0,0.0
2015-01-16,9992.040200370448,10801.982107108313,9992.040200370448,10720.47265625,21135,0.0,0.0
2015-01-19,10709.425868602926,11045.911776304894,10705.329496535494,10845.3828125,11554,0.0,0.0
2015-01-20,10799.449993349768,10941.896232261392,10595.100623150222,10692.0283203125,9930,0.0,0.0
2015-01-21,10660.224807858758,10935.452095446166,10660.224807858758,10781.3154296875,9031,0.0,0.0
2015-01-22,10733.169214641786,10898.62768820212,10733.169214641786,10846.4814453125,10286,0.0,0.0
2015-01-23,10889.1049476977,10996.203895280467,10791.808706325926,10947.9697265625,13519,0.0,0.0
2015-01-27,10953.907769188329,11051.434139802632,10746.751089638157,10930.849609375,15429,0.0,0.0
2015-01-28,10970.709038026655,11045.913478744857,10732.900085324673,10925.880859375,7944,0.0,0.0
2015-01-29,10944.66032580686,10963.990676256142,10654.705069067655,10726.8720703125,6202,0.0,0.0
2015-01-30,10751.35132727368,10934.207503721414,10726.498032253441,10857.162109375,4918,0.0,0.0
2015-02-02,10861.813844120767,11044.991891152973,10769.764574255336,10866.6005859375,3843,0.0,0.0
2015-02-03,10903.23613643817,11073.527287577137,10818.73508554862,11043.5654296875,8462,0.0,0.0
2015-02-04,11109.424253867724,11138.005366907179,10876.539645679097,10964.078125,4155,0.0,0.0
2015-02-05,10880.22378342538,11027.502616365147,10734.785935897356,10862.1357421875,3284,0.0,0.0
2015-02-06,10844.371181519604,10908.759830643787,10661.193120065034,10718.263671875,5769,0.0,0.0
2015-02-09,10718.218456908478,10801.661491082545,10314.16795149264,10370.087890625,7535,0.0,0.0
2015-02-10,10369.348914459157,10571.857282073983,10266.345435182202,10551.6064453125,5036,0.0,0.0
2015-02-11,10586.999897530444,10859.051308335747,10586.999897530444,10778.1396484375,2982,0.0,0.0
2015-02-12,10897.714018823714,11086.415038661442,10645.498997186945,10834.751953125,15118,0.0,0.0
2015-02-13,10861.809602486594,11013.690838453567,10789.320830775085,10831.294921875,8710,0.0,0.0
2015-02-16,10970.647478955623,11062.929624101362,10796.407783701623,10841.626953125,9769,18.0,0.0
2015-02-18,10879.373779613088,10989.080201083638,10696.837044729316,10856.00390625,74737,0.0,0.0
2015-02-19,10882.73903040938,10924.546957592982,10702.829359002171,10856.787109375,9267,0.0,0.0
2015-02-20,10923.305507027244,10960.181624211595,10744.778644590175,10863.0126953125,3016,0.0,0.0
2015-02-23,10759.61986141719,10901.17876254648,10671.716785859036,10737.771484375,2110,0.0,0.0
2015-02-24,10795.112861281237,11060.989993710418,10592.663362871537,10842.9140625,7281,0.0,0.0
2015-02-25,10869.235021072098,10872.830802444201,10647.97832853119,10718.734375,4515,0.0,0.0
2015-02-26,10822.816249404814,10822.816249404814,10449.76793218392,10568.1865234375,3229,0.0,0.0
2015-02-27,10645.625505833217,10809.309150046223,10514.346201325501,10693.794921875,3771,0.0,0.0
2015-03-02,11015.816068962291,11108.928247635418,10694.302481712262,11027.5244140625,19320,0.0,0.0
2015-03-03,11060.991542420887,11512.723985810304,10887.67378863066,11244.3583984375,30940,0.0,0.0
2015-03-04,11332.029158919597,11929.37625514551,11033.28673818571,11466.166015625,27222,0.0,0.0
2015-03-05,11523.466702419644,12157.136452294779,11478.61575548057,12038.810546875,12658,0.0,0.0
